nm,A
190.0,
190.5,
191.0,
191.5,
192.0,1.699
192.5,1.457
193.0,1.407
193.5,1.524
194.0,1.422
194.5,1.295
195.0,1.368
195.5,1.435
196.0,1.343
196.5,1.272
197.0,1.344
197.5,1.365
198.0,1.292
198.5,1.287
199.0,1.292
199.5,1.255
200.0,1.278
200.5,1.302
201.0,1.249
201.5,1.215
202.0,1.247
202.5,1.265
203.0,1.229
203.5,1.195
204.0,1.182
204.5,1.163
205.0,1.147
205.5,1.132
206.0,1.111
206.5,1.093
207.0,1.072
207.5,1.048
208.0,1.037
208.5,1.032
209.0,1.014
209.5,0.994
210.0,0.979
210.5,0.961
211.0,0.946
211.5,0.937
212.0,0.926
212.5,0.912
213.0,0.898
213.5,0.884
214.0,0.868
214.5,0.853
215.0,0.838
215.5,0.824
216.0,0.812
216.5,0.799
217.0,0.785
217.5,0.773
218.0,0.761
218.5,0.749
219.0,0.737
219.5,0.726
220.0,0.715
220.5,0.703
221.0,0.691
221.5,0.681
222.0,0.671
222.5,0.66
223.0,0.65
223.5,0.64
224.0,0.632
224.5,0.622
225.0,0.612
225.5,0.603
226.0,0.595
226.5,0.588
227.0,0.582
227.5,0.576
228.0,0.571
228.5,0.565
229.0,0.558
229.5,0.553
230.0,0.548
230.5,0.543
231.0,0.539
231.5,0.535
232.0,0.53
232.5,0.525
233.0,0.52
233.5,0.517
234.0,0.513
234.5,0.508
235.0,0.504
235.5,0.499
236.0,0.494
236.5,0.49
237.0,0.488
237.5,0.486
238.0,0.482
238.5,0.479
239.0,0.476
239.5,0.474
240.0,0.471
240.5,0.469
241.0,0.467
241.5,0.465
242.0,0.463
242.5,0.461
243.0,0.46
243.5,0.459
244.0,0.457
244.5,0.455
245.0,0.455
245.5,0.454
246.0,0.454
246.5,0.453
247.0,0.453
247.5,0.452
248.0,0.452
248.5,0.452
249.0,0.452
249.5,0.451
250.0,0.452
250.5,0.452
251.0,0.453
251.5,0.452
252.0,0.452
252.5,0.453
253.0,0.454
253.5,0.454
254.0,0.455
254.5,0.456
255.0,0.457
255.5,0.459
256.0,0.46
256.5,0.462
257.0,0.463
257.5,0.465
258.0,0.468
258.5,0.471
259.0,0.472
259.5,0.474
260.0,0.477
260.5,0.481
261.0,0.485
261.5,0.489
262.0,0.493
262.5,0.497
263.0,0.501
263.5,0.504
264.0,0.507
264.5,0.511
265.0,0.514
265.5,0.517
266.0,0.521
266.5,0.524
267.0,0.526
267.5,0.53
268.0,0.533
268.5,0.537
269.0,0.541
269.5,0.544
270.0,0.546
270.5,0.548
271.0,0.553
271.5,0.558
272.0,0.56
272.5,0.561
273.0,0.564
273.5,0.565
274.0,0.565
274.5,0.565
275.0,0.566
275.5,0.568
276.0,0.57
276.5,0.57
277.0,0.572
277.5,0.573
278.0,0.572
278.5,0.572
279.0,0.572
279.5,0.573
280.0,0.574
280.5,0.573
281.0,0.573
281.5,0.573
282.0,0.571
282.5,0.57
283.0,0.57
283.5,0.568
284.0,0.566
284.5,0.565
285.0,0.565
285.5,0.563
286.0,0.558
286.5,0.554
287.0,0.553
287.5,0.551
288.0,0.548
288.5,0.545
289.0,0.543
289.5,0.54
290.0,0.535
290.5,0.53
291.0,0.527
291.5,0.526
292.0,0.525
292.5,0.523
293.0,0.52
293.5,0.516
294.0,0.515
294.5,0.514
295.0,0.511
295.5,0.508
296.0,0.507
296.5,0.505
297.0,0.504
297.5,0.503
298.0,0.502
298.5,0.5
299.0,0.5
299.5,0.499
300.0,0.498
300.5,0.495
301.0,0.494
301.5,0.494
302.0,0.493
302.5,0.491
303.0,0.49
303.5,0.49
304.0,0.489
304.5,0.49
305.0,0.489
305.5,0.487
306.0,0.486
306.5,0.488
307.0,0.489
307.5,0.489
308.0,0.488
308.5,0.488
309.0,0.488
309.5,0.489
310.0,0.49
310.5,0.489
311.0,0.488
311.5,0.487
312.0,0.488
312.5,0.489
313.0,0.49
313.5,0.491
314.0,0.492
314.5,0.496
315.0,0.498
315.5,0.496
316.0,0.494
316.5,0.496
317.0,0.498
317.5,0.497
318.0,0.495
318.5,0.496
319.0,0.5
319.5,0.503
320.0,0.504
320.5,0.502
321.0,0.501
321.5,0.502
322.0,0.505
322.5,0.506
323.0,0.505
323.5,0.503
324.0,0.505
324.5,0.504
325.0,0.501
325.5,0.502
326.0,0.502
326.5,0.5
327.0,0.497
327.5,0.496
328.0,0.497
328.5,0.497
329.0,0.494
329.5,0.494
330.0,0.493
330.5,0.488
331.0,0.485
331.5,0.486
332.0,0.483
332.5,0.479
333.0,0.478
333.5,0.478
334.0,0.476
334.5,0.471
335.0,0.469
335.5,0.469
336.0,0.469
336.5,0.464
337.0,0.455
337.5,0.449
338.0,0.449
338.5,0.447
339.0,0.44
339.5,0.443
340.0,0.46
340.5,0.463
341.0,0.445
341.5,0.426
342.0,0.425
342.5,0.443
343.0,0.453
343.5,0.437
344.0,0.427
344.5,0.431
345.0,0.427
345.5,0.421
346.0,0.422
346.5,0.415
347.0,0.407
347.5,0.403
348.0,0.394
348.5,0.382
349.0,0.375
349.5,0.373
350.0,0.373
350.5,0.372
351.0,0.372
351.5,0.373
352.0,0.365
352.5,0.351
353.0,0.345
353.5,0.346
354.0,0.343
354.5,0.336
355.0,0.335
355.5,0.33
356.0,0.316
356.5,0.315
357.0,0.327
357.5,0.322
358.0,0.3
358.5,0.297
359.0,0.305
359.5,0.3
360.0,0.293
360.5,0.291
361.0,0.286
361.5,0.283
362.0,0.283
362.5,0.277
363.0,0.269
363.5,0.269
364.0,0.273
364.5,0.267
365.0,0.257
365.5,0.258
366.0,0.262
366.5,0.253
367.0,0.242
367.5,0.244
368.0,0.251
368.5,0.25
369.0,0.244
369.5,0.244
370.0,0.244
370.5,0.236
371.0,0.227
371.5,0.227
372.0,0.223
372.5,0.207
373.0,0.196
373.5,0.184
374.0,0.162
374.5,0.172
375.0,0.202
375.5,0.194
376.0,0.173
376.5,0.183
377.0,0.185
377.5,0.173
378.0,0.176
378.5,0.175
379.0,0.157
379.5,0.139
380.0,0.139
380.5,0.164
381.0,0.18
381.5,0.173
382.0,0.167
382.5,0.162
383.0,0.15
383.5,0.142
384.0,0.147
384.5,0.149
385.0,0.147
385.5,0.162
386.0,0.16
386.5,0.146
387.0,0.152
387.5,0.143
388.0,0.119
388.5,0.126
389.0,0.155
389.5,0.173
390.0,0.171
390.5,0.155
391.0,0.138
391.5,0.131
392.0,0.137
392.5,0.146
393.0,0.144
393.5,0.144
394.0,0.16
394.5,0.165
395.0,0.147
395.5,0.134
396.0,0.129
396.5,0.112
397.0,0.111
397.5,0.128
398.0,0.133
398.5,0.13
399.0,0.115
399.5,0.094
400.0,0.097
400.5,0.103
401.0,0.093
401.5,0.09
402.0,0.1
402.5,0.112
403.0,0.115
403.5,0.113
404.0,0.116
404.5,0.105
405.0,0.088
405.5,0.09
406.0,0.097
406.5,0.102
407.0,0.1
407.5,0.082
408.0,0.075
408.5,0.084
409.0,0.085
409.5,0.084
410.0,0.09
410.5,0.093
411.0,0.09
411.5,0.085
412.0,0.088
412.5,0.093
413.0,0.086
413.5,0.081
414.0,0.084
414.5,0.079
415.0,0.067
415.5,0.067
416.0,0.075
416.5,0.072
417.0,0.069
417.5,0.077
418.0,0.081
418.5,0.074
419.0,0.073
419.5,0.072
420.0,0.07
420.5,0.075
421.0,0.082
421.5,0.082
422.0,0.08
422.5,0.077
423.0,0.065
423.5,0.055
424.0,0.061
424.5,0.069
425.0,0.066
425.5,0.067
426.0,0.075
426.5,0.07
427.0,0.055
427.5,0.052
428.0,0.053
428.5,0.049
429.0,0.051
429.5,0.052
430.0,0.045
430.5,0.049
431.0,0.059
431.5,0.054
432.0,0.045
432.5,0.05
433.0,0.057
433.5,0.06
434.0,0.064
434.5,0.059
435.0,0.047
435.5,0.048
436.0,0.058
436.5,0.065
437.0,0.061
437.5,0.052
438.0,0.051
438.5,0.05
439.0,0.044
439.5,0.051
440.0,0.069
440.5,0.074
441.0,0.063
441.5,0.05
442.0,0.046
442.5,0.047
443.0,0.051
443.5,0.056
444.0,0.054
444.5,0.045
445.0,0.042
445.5,0.044
446.0,0.048
446.5,0.055
447.0,0.055
447.5,0.043
448.0,0.039
448.5,0.041
449.0,0.044
449.5,0.049
450.0,0.05
450.5,0.052
451.0,0.056
451.5,0.049
452.0,0.04
452.5,0.04
453.0,0.041
453.5,0.04
454.0,0.041
454.5,0.046
455.0,0.052
455.5,0.052
456.0,0.047
456.5,0.044
457.0,0.043
457.5,0.043
458.0,0.041
458.5,0.037
459.0,0.033
459.5,0.034
460.0,0.039
460.5,0.044
461.0,0.043
461.5,0.042
462.0,0.046
462.5,0.045
463.0,0.042
463.5,0.043
464.0,0.045
464.5,0.046
465.0,0.04
465.5,0.034
466.0,0.041
466.5,0.047
467.0,0.044
467.5,0.042
468.0,0.044
468.5,0.043
469.0,0.04
469.5,0.041
470.0,0.041
470.5,0.037
471.0,0.037
471.5,0.042
472.0,0.046
472.5,0.043
473.0,0.038
473.5,0.038
474.0,0.038
474.5,0.034
475.0,0.033
475.5,0.038
476.0,0.044
476.5,0.042
477.0,0.037
477.5,0.037
478.0,0.042
478.5,0.042
479.0,0.041
479.5,0.042
480.0,0.043
480.5,0.039
481.0,0.035
481.5,0.036
482.0,0.037
482.5,0.036
483.0,0.035
483.5,0.038
484.0,0.041
484.5,0.039
485.0,0.039
485.5,0.041
486.0,0.039
486.5,0.037
487.0,0.037
487.5,0.037
488.0,0.039
488.5,0.04
489.0,0.04
489.5,0.04
490.0,0.04
490.5,0.04
491.0,0.039
491.5,0.034
492.0,0.034
492.5,0.038
493.0,0.042
493.5,0.038
494.0,0.034
494.5,0.038
495.0,0.04
495.5,0.034
496.0,0.034
496.5,0.04
497.0,0.039
497.5,0.032
498.0,0.029
498.5,0.031
499.0,0.031
499.5,0.031
500.0,0.035
500.5,0.039
501.0,0.039
501.5,0.038
502.0,0.038
502.5,0.035
503.0,0.033
503.5,0.033
504.0,0.036
504.5,0.039
505.0,0.039
505.5,0.038
506.0,0.036
506.5,0.035
507.0,0.034
507.5,0.03
508.0,0.03
508.5,0.034
509.0,0.037
509.5,0.037
510.0,0.035
510.5,0.034
511.0,0.033
511.5,0.031
512.0,0.031
512.5,0.033
513.0,0.033
513.5,0.031
514.0,0.031
514.5,0.035
515.0,0.037
515.5,0.031
516.0,0.026
516.5,0.031
517.0,0.034
517.5,0.03
518.0,0.028
518.5,0.031
519.0,0.032
519.5,0.031
520.0,0.028
520.5,0.027
521.0,0.03
521.5,0.034
522.0,0.034
522.5,0.032
523.0,0.03
523.5,0.031
524.0,0.032
524.5,0.031
525.0,0.032
525.5,0.032
526.0,0.029
526.5,0.026
527.0,0.028
527.5,0.031
528.0,0.032
528.5,0.032
529.0,0.03
529.5,0.03
530.0,0.029
530.5,0.029
531.0,0.032
531.5,0.034
532.0,0.033
532.5,0.029
533.0,0.029
533.5,0.032
534.0,0.033
534.5,0.029
535.0,0.026
535.5,0.027
536.0,0.029
536.5,0.03
537.0,0.031
537.5,0.031
538.0,0.03
538.5,0.031
539.0,0.032
539.5,0.03
540.0,0.029
540.5,0.03
541.0,0.03
541.5,0.03
542.0,0.032
542.5,0.031
543.0,0.03
543.5,0.03
544.0,0.029
544.5,0.029
545.0,0.03
545.5,0.029
546.0,0.027
546.5,0.027
547.0,0.029
547.5,0.03
548.0,0.028
548.5,0.027
549.0,0.029
549.5,0.03
550.0,0.031
550.5,0.032
551.0,0.03
551.5,0.028
552.0,0.029
552.5,0.029
553.0,0.028
553.5,0.027
554.0,0.027
554.5,0.029
555.0,0.03
555.5,0.028
556.0,0.026
556.5,0.026
557.0,0.028
557.5,0.03
558.0,0.029
558.5,0.026
559.0,0.025
559.5,0.027
560.0,0.028
560.5,0.028
561.0,0.028
561.5,0.028
562.0,0.026
562.5,0.024
563.0,0.023
563.5,0.022
564.0,0.025
564.5,0.029
565.0,0.031
565.5,0.03
566.0,0.026
566.5,0.024
567.0,0.026
567.5,0.029
568.0,0.029
568.5,0.025
569.0,0.023
569.5,0.025
570.0,0.024
570.5,0.023
571.0,0.025
571.5,0.024
572.0,0.023
572.5,0.024
573.0,0.026
573.5,0.028
574.0,0.027
574.5,0.025
575.0,0.026
575.5,0.029
576.0,0.029
576.5,0.026
577.0,0.024
577.5,0.025
578.0,0.024
578.5,0.021
579.0,0.023
579.5,0.029
580.0,0.031
580.5,0.03
581.0,0.03
581.5,0.03
582.0,0.03
582.5,0.031
583.0,0.033
583.5,0.031
584.0,0.029
584.5,0.029
585.0,0.03
585.5,0.03
586.0,0.029
586.5,0.029
587.0,0.03
587.5,0.032
588.0,0.032
588.5,0.03
589.0,0.028
589.5,0.029
590.0,0.029
590.5,0.029
591.0,0.03
591.5,0.03
592.0,0.03
592.5,0.03
593.0,0.029
593.5,0.028
594.0,0.029
594.5,0.03
595.0,0.031
595.5,0.031
596.0,0.03
596.5,0.03
597.0,0.03
597.5,0.031
598.0,0.03
598.5,
599.0,
599.5,
600.0,
