Muestra,Guerrero café
Fecha del experimento,17 de junio de 2025
Tipo de experimento,Spectral Acquisition[Emission]
Comentario,Spectral Acquisition[Emission]
Identificador de datos,DfltEm
Número de puntos,481
Tiempo de integración,0.100000 s
Rango espectral,370.00nm - 850.00nm
Incremento,1.00nm
Rendijas,5.00 nm Bandpass (entrada, salida, frontal)
Red de difracción,1200 líneas/mm (Blaze: 500)
Excitación,325.00nm (Blaze: 330)
Detector,S2 (SCD2)
Unidades,CPS
Detector Accumulations,1
Accumulations Mode,None
Detector Cycles,1
Saturación detectada,No especificado
Nombre del proyecto,FL3-2iHR_1396C-0311-FL
Archivo de resultados,DfltEm
Directorio de resultados,C:\Users\Public\Documents\Jobin Yvon\Data
Wavelength,S2
nm,CPS
370,8350
371,9430
372,10230
373,10970
374,11550
375,12460
376,13610
377,13540
378,15250
379,15600
380,16540
381,17360
382,17910
383,19080
384,19150
385,21150
386,22020
387,20910
388,22840
389,24970
390,24660
391,26190
392,25940
393,26320
394,27920
395,28380
396,28480
397,30110
398,30680
399,31170
400,32120
401,32690
402,33120
403,33310
404,35070
405,34690
406,35100
407,37120
408,35490
409,36550
410,37110
411,36870
412,36830
413,38040
414,37720
415,37890
416,37960
417,39020
418,37530
419,40440
420,39310
421,39830
422,39220
423,38990
424,40580
425,40370
426,40150
427,40370
428,40600
429,40180
430,41940
431,40230
432,41150
433,41160
434,43060
435,39860
436,41090
437,41590
438,41250
439,39880
440,41620
441,40770
442,39960
443,41850
444,40870
445,41090
446,40160
447,40480
448,39970
449,40160
450,39580
451,39720
452,40300
453,39390
454,39190
455,39400
456,40090
457,39680
458,39410
459,40330
460,39290
461,39650
462,39970
463,39390
464,39310
465,39270
466,40120
467,39320
468,37680
469,37820
470,38610
471,38620
472,38650
473,39790
474,39280
475,39840
476,39260
477,38850
478,38930
479,39040
480,39710
481,40540
482,39150
483,39900
484,39730
485,39070
486,39580
487,39440
488,38270
489,39400
490,39840
491,39870
492,39160
493,39580
494,39400
495,38950
496,39320
497,40220
498,41110
499,39000
500,38830
501,39780
502,39540
503,38980
504,38680
505,40310
506,37070
507,39060
508,38210
509,38400
510,39150
511,38560
512,38180
513,37170
514,38770
515,38310
516,37790
517,38340
518,39060
519,37630
520,38460
521,36440
522,37800
523,38040
524,36790
525,38150
526,37630
527,36720
528,37170
529,37440
530,35870
531,37070
532,34600
533,35120
534,37130
535,36660
536,35710
537,35850
538,36360
539,35050
540,35240
541,33980
542,35170
543,34550
544,34460
545,34420
546,33950
547,33720
548,32490
549,34140
550,34170
551,33640
552,33030
553,33760
554,33220
555,31780
556,33500
557,33600
558,31710
559,31170
560,31700
561,31370
562,31020
563,30100
564,29980
565,30280
566,31720
567,29700
568,30250
569,29600
570,30260
571,28970
572,28750
573,28920
574,28370
575,27180
576,28150
577,29170
578,27190
579,27650
580,26410
581,27460
582,27580
583,26660
584,25990
585,24910
586,26110
587,24990
588,25190
589,25900
590,24230
591,25510
592,24590
593,24040
594,23850
595,24200
596,23950
597,23620
598,23090
599,22950
600,22680
601,22630
602,22690
603,21460
604,21450
605,21320
606,21570
607,21650
608,20380
609,20340
610,19700
611,19900
612,19760
613,20060
614,19950
615,18910
616,19240
617,19560
618,17520
619,17800
620,17770
621,17960
622,17850
623,16850
624,17530
625,17010
626,17100
627,16220
628,15750
629,16410
630,14850
631,15430
632,15640
633,14640
634,14450
635,13500
636,14720
637,13500
638,13240
639,12810
640,13880
641,12700
642,12770
643,12790
644,11920
645,11840
646,11670
647,11510
648,11950
649,11360
650,11500
651,11450
652,11500
653,11620
654,11340
655,11220
656,10580
657,11020
658,11190
659,10820
660,10970
661,11120
662,10250
663,11070
664,10140
665,10230
666,10130
667,9960
668,10050
669,10090
670,9370
671,9860
672,9670
673,9660
674,9220
675,9230
676,8930
677,9150
678,8090
679,8890
680,8460
681,8730
682,8440
683,7640
684,7860
685,7700
686,7370
687,7220
688,6960
689,7030
690,6950
691,7110
692,6430
693,6620
694,6020
695,6120
696,6320
697,5760
698,5450
699,5780
700,5830
701,6030
702,4920
703,5720
704,5430
705,5440
706,4340
707,5030
708,4540
709,4600
710,4850
711,5020
712,4330
713,4450
714,3860
715,4280
716,4370
717,3720
718,3790
719,4200
720,3410
721,4040
722,3670
723,3410
724,3260
725,3430
726,3430
727,3370
728,3520
729,3690
730,3190
731,3180
732,3230
733,2570
734,2940
735,2820
736,2640
737,2710
738,2870
739,2860
740,2900
741,2700
742,2520
743,2480
744,2640
745,2530
746,2010
747,2280
748,2310
749,2450
750,2020
751,2110
752,2090
753,2220
754,2060
755,2070
756,2140
757,2010
758,2210
759,1980
760,2130
761,2030
762,1920
763,1790
764,2310
765,2020
766,1900
767,1740
768,1790
769,1620
770,1660
771,1950
772,1850
773,1580
774,1610
775,1620
776,1610
777,1640
778,1590
779,1790
780,1580
781,1310
782,1440
783,1450
784,1630
785,1650
786,1360
787,1360
788,1480
789,1380
790,1230
791,1540
792,1360
793,1290
794,1260
795,1230
796,1170
797,1310
798,1510
799,1330
800,1250
801,1310
802,1140
803,1150
804,1100
805,1130
806,1230
807,1390
808,1090
809,1210
810,1080
811,1130
812,920
813,1070
814,1000
815,860
816,910
817,1010
818,920
819,910
820,910
821,970
822,990
823,770
824,820
825,690
826,810
827,720
828,870
829,700
830,670
831,670
832,590
833,730
834,620
835,630
836,610
837,610
838,630
839,530
840,460
841,450
842,550
843,550
844,360
845,470
846,490
847,450
848,590
849,440
850,460