Muestra,Verde
Fecha del experimento,17 de junio de 2025
Tipo de experimento,Spectral Acquisition[Emission]
Comentario,Spectral Acquisition[Emission]
Identificador de datos,DfltEm
Número de puntos,481
Tiempo de integración,0.100000 s
Rango espectral,370.00nm - 850.00nm
Incremento,1.00nm
Rendijas,"5.00 nm Bandpass (entrada, salida, frontal)"
Red de difracción,1200 líneas/mm (Blaze: 500)
Excitación,325.00nm (Blaze: 330)
Detector,S2 (SCD2)
Unidades,CPS
Detector Accumulations,1
Accumulations Mode,None
Detector Cycles,1
Saturación detectada,No especificado
Nombre del proyecto,FL3-2iHR_1396C-0311-FL
Wavelength,S2
nm,CPS
370,112290
371,123490
372,139200
373,152170
374,169190
375,183860
376,198810
377,218130
378,235560
379,247260
380,274440
381,289510
382,306800
383,329160
384,347410
385,375180
386,391270
387,421540
388,444640
389,464570
390,484050
391,506150
392,526800
393,551310
394,574710
395,594440
396,618230
397,637480
398,663730
399,667900
400,700810
401,719940
402,737310
403,758110
404,768140
405,803570
406,822430
407,832160
408,863120
409,871580
410,892690
411,906950
412,917500
413,943050
414,953140
415,968900
416,994200
417,1003790
418,1018630
419,1020580
420,1061470
421,1051730
422,1070090
423,1091900
424,1105600
425,1130980
426,1147510
427,1144800
428,1138300
429,1163380
430,1163390
431,1189870
432,1202870
433,1221230
434,1215840
435,1220510
436,1216580
437,1226420
438,1256590
439,1270230
440,1249690
441,1284170
442,1279300
443,1261280
444,1282310
445,1288920
446,1281310
447,1309980
448,1311620
449,1316260
450,1300340
451,1302420
452,1312370
453,1312570
454,1303170
455,1303730
456,1291150
457,1303460
458,1303600
459,1281880
460,1284440
461,1296120
462,1288220
463,1280350
464,1296040
465,1295670
466,1285020
467,1273150
468,1268730
469,1275420
470,1274590
471,1263880
472,1276120
473,1252290
474,1251320
475,1258500
476,1249030
477,1236540
478,1245630
479,1214920
480,1226010
481,1212020
482,1202680
483,1203290
484,1190340
485,1202420
486,1167490
487,1157160
488,1170880
489,1144490
490,1167730
491,1136450
492,1141340
493,1131290
494,1117290
495,1104440
496,1096090
497,1084280
498,1063220
499,1067350
500,1060410
501,1051020
502,1026350
503,1031820
504,1007430
505,1011100
506,999220
507,979740
508,978460
509,974270
510,960680
511,927620
512,939970
513,915240
514,913860
515,902740
516,882470
517,889980
518,871220
519,867280
520,860070
521,842400
522,814030
523,821710
524,814120
525,805790
526,796160
527,792980
528,778330
529,750920
530,743130
531,745750
532,741140
533,713210
534,702900
535,713080
536,699440
537,687630
538,678240
539,664150
540,661600
541,649750
542,640880
543,636280
544,622830
545,614470
546,610380
547,591180
548,588540
549,583950
550,585790
551,575410
552,558600
553,541100
554,544890
555,535410
556,534810
557,526180
558,514230
559,511010
560,504830
561,487400
562,491300
563,486760
564,472850
565,471250
566,458120
567,448070
568,450820
569,433530
570,433560
571,420670
572,422260
573,414400
574,404020
575,397400
576,398690
577,384490
578,378890
579,369760
580,371640
581,362450
582,357540
583,351240
584,342670
585,338070
586,334700
587,322980
588,318530
589,310130
590,309430
591,297460
592,293740
593,287700
594,288100
595,279850
596,276870
597,263960
598,269910
599,261570
600,254320
601,249230
602,243660
603,239580
604,232120
605,226780
606,223480
607,217050
608,216640
609,215110
610,208300
611,202830
612,200860
613,196280
614,192780
615,186230
616,183670
617,179020
618,177920
619,178080
620,172390
621,166670
622,161980
623,161760
624,158730
625,153330
626,152090
627,145380
628,142740
629,142360
630,136650
631,133880
632,129610
633,127570
634,129380
635,123570
636,120050
637,119320
638,115400
639,117400
640,112710
641,111740
642,107020
643,108860
644,103760
645,106140
646,106020
647,105440
648,108910
649,106840
650,111780
651,114220
652,113240
653,117930
654,120860
655,122110
656,131240
657,131570
658,137480
659,140950
660,149830
661,150950
662,156920
663,160230
664,167780
665,170350
666,171090
667,178060
668,182700
669,185220
670,183070
671,183940
672,185940
673,181320
674,181030
675,175760
676,170650
677,168040
678,163470
679,157310
680,152660
681,140780
682,140260
683,132260
684,125460
685,121360
686,118030
687,111800
688,109320
689,105860
690,100080
691,98860
692,94840
693,93070
694,91810
695,90520
696,85870
697,86360
698,83460
699,82390
700,79910
701,79830
702,77250
703,77980
704,75390
705,72170
706,72390
707,71270
708,69300
709,66360
710,66910
711,63330
712,63520
713,61140
714,59840
715,58080
716,58270
717,55570
718,56760
719,53370
720,50250
721,49750
722,49510
723,47310
724,46610
725,43840
726,43190
727,40900
728,40460
729,39640
730,39260
731,37350
732,35770
733,34430
734,33560
735,32700
736,32390
737,32090
738,29870
739,29910
740,27890
741,26880
742,27890
743,25110
744,26130
745,25210
746,24580
747,24100
748,24270
749,23590
750,22320
751,22330
752,22110
753,20640
754,21380
755,20870
756,20590
757,20230
758,20860
759,20270
760,18030
761,19330
762,19160
763,18870
764,19280
765,18630
766,18330
767,17890
768,17380
769,17520
770,17440
771,17480
772,16270
773,16480
774,16150
775,17000
776,16590
777,16640
778,16760
779,16090
780,15820
781,15960
782,16250
783,15440
784,15680
785,16140
786,15180
787,14970
788,14530
789,14960
790,15290
791,15170
792,14470
793,13860
794,14850
795,14210
796,14380
797,14540
798,15020
799,13870
800,14130
801,13970
802,13820
803,13860
804,12920
805,12720
806,14030
807,13280
808,13150
809,12500
810,13390
811,12030
812,12650
813,12490
814,11720
815,11760
816,10880
817,11360
818,11010
819,10940
820,11350
821,10740
822,10730
823,10650
824,9790
825,9920
826,9810
827,9700
828,9950
829,9310
830,9300
831,8930
832,9110
833,9180
834,8900
835,7970
836,8140
837,8310
838,8140
839,8810
840,7490
841,8210
842,7100
843,7660
844,7100
845,7790
846,7080
847,7380
848,6970
849,6820
850,6660
