Batch,scan005
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,14/02/2025
Time Collected,12:45:49
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,1.348
204.5,1.313
205.0,1.265
205.5,1.211
206.0,1.159
206.5,1.110
207.0,1.067
207.5,1.028
208.0,0.992
208.5,0.958
209.0,0.929
209.5,0.903
210.0,0.878
210.5,0.851
211.0,0.823
211.5,0.796
212.0,0.773
212.5,0.751
213.0,0.729
213.5,0.708
214.0,0.689
214.5,0.671
215.0,0.654
215.5,0.637
216.0,0.620
216.5,0.603
217.0,0.588
217.5,0.574
218.0,0.560
218.5,0.546
219.0,0.533
219.5,0.519
220.0,0.505
220.5,0.492
221.0,0.480
221.5,0.468
222.0,0.457
222.5,0.446
223.0,0.435
223.5,0.425
224.0,0.416
224.5,0.406
225.0,0.397
225.5,0.389
226.0,0.382
226.5,0.375
227.0,0.369
227.5,0.363
228.0,0.358
228.5,0.353
229.0,0.348
229.5,0.343
230.0,0.339
230.5,0.334
231.0,0.330
231.5,0.326
232.0,0.322
232.5,0.319
233.0,0.315
233.5,0.311
234.0,0.307
234.5,0.303
235.0,0.299
235.5,0.295
236.0,0.291
236.5,0.288
237.0,0.285
237.5,0.282
238.0,0.279
238.5,0.276
239.0,0.273
239.5,0.271
240.0,0.268
240.5,0.266
241.0,0.264
241.5,0.262
242.0,0.260
242.5,0.258
243.0,0.256
243.5,0.255
244.0,0.253
244.5,0.251
245.0,0.250
245.5,0.249
246.0,0.248
246.5,0.246
247.0,0.245
247.5,0.244
248.0,0.243
248.5,0.242
249.0,0.241
249.5,0.240
250.0,0.240
250.5,0.239
251.0,0.238
251.5,0.238
252.0,0.237
252.5,0.237
253.0,0.236
253.5,0.236
254.0,0.236
254.5,0.236
255.0,0.236
255.5,0.236
256.0,0.237
256.5,0.238
257.0,0.238
257.5,0.239
258.0,0.240
258.5,0.241
259.0,0.242
259.5,0.244
260.0,0.245
260.5,0.247
261.0,0.250
261.5,0.252
262.0,0.254
262.5,0.257
263.0,0.259
263.5,0.262
264.0,0.264
264.5,0.267
265.0,0.269
265.5,0.271
266.0,0.273
266.5,0.275
267.0,0.277
267.5,0.280
268.0,0.282
268.5,0.284
269.0,0.286
269.5,0.288
270.0,0.290
270.5,0.293
271.0,0.296
271.5,0.298
272.0,0.300
272.5,0.302
273.0,0.303
273.5,0.303
274.0,0.303
274.5,0.303
275.0,0.303
275.5,0.304
276.0,0.305
276.5,0.306
277.0,0.306
277.5,0.307
278.0,0.306
278.5,0.306
279.0,0.305
279.5,0.305
280.0,0.305
280.5,0.305
281.0,0.304
281.5,0.304
282.0,0.302
282.5,0.300
283.0,0.299
283.5,0.297
284.0,0.296
284.5,0.294
285.0,0.292
285.5,0.290
286.0,0.287
286.5,0.285
287.0,0.283
287.5,0.281
288.0,0.279
288.5,0.276
289.0,0.273
289.5,0.271
290.0,0.269
290.5,0.268
291.0,0.266
291.5,0.264
292.0,0.262
292.5,0.260
293.0,0.259
293.5,0.257
294.0,0.255
294.5,0.253
295.0,0.251
295.5,0.250
296.0,0.250
296.5,0.249
297.0,0.249
297.5,0.248
298.0,0.247
298.5,0.245
299.0,0.244
299.5,0.243
300.0,0.241
300.5,0.241
301.0,0.241
301.5,0.242
302.0,0.242
302.5,0.242
303.0,0.241
303.5,0.241
304.0,0.240
304.5,0.240
305.0,0.240
305.5,0.240
306.0,0.241
306.5,0.241
307.0,0.242
307.5,0.242
308.0,0.243
308.5,0.243
309.0,0.243
309.5,0.242
310.0,0.243
310.5,0.243
311.0,0.243
311.5,0.243
312.0,0.243
312.5,0.243
313.0,0.244
313.5,0.246
314.0,0.247
314.5,0.248
315.0,0.249
315.5,0.250
316.0,0.252
316.5,0.253
317.0,0.254
317.5,0.255
318.0,0.255
318.5,0.256
319.0,0.256
319.5,0.257
320.0,0.256
320.5,0.256
321.0,0.256
321.5,0.257
322.0,0.257
322.5,0.257
323.0,0.255
323.5,0.253
324.0,0.252
324.5,0.252
325.0,0.253
325.5,0.253
326.0,0.252
326.5,0.250
327.0,0.249
327.5,0.249
328.0,0.249
328.5,0.248
329.0,0.247
329.5,0.245
330.0,0.244
330.5,0.242
331.0,0.239
331.5,0.236
332.0,0.234
332.5,0.231
333.0,0.229
333.5,0.227
334.0,0.225
334.5,0.222
335.0,0.220
335.5,0.217
336.0,0.215
336.5,0.212
337.0,0.210
337.5,0.207
338.0,0.204
338.5,0.202
339.0,0.200
339.5,0.200
340.0,0.199
340.5,0.194
341.0,0.185
341.5,0.176
342.0,0.169
342.5,0.166
343.0,0.166
343.5,0.165
344.0,0.163
344.5,0.159
345.0,0.154
345.5,0.148
346.0,0.140
346.5,0.133
347.0,0.127
347.5,0.122
348.0,0.120
348.5,0.121
349.0,0.123
349.5,0.124
350.0,0.122
350.5,0.118
351.0,0.116
351.5,0.115
352.0,0.114
352.5,0.113
353.0,0.115
353.5,0.119
354.0,0.121
354.5,0.119
355.0,0.113
355.5,0.108
356.0,0.103
356.5,0.099
357.0,0.094
357.5,0.090
358.0,0.087
358.5,0.087
359.0,0.089
359.5,0.091
360.0,0.091
360.5,0.086
361.0,0.079
361.5,0.074
362.0,0.073
362.5,0.076
363.0,0.079
363.5,0.079
364.0,0.077
364.5,0.074
365.0,0.073
365.5,0.075
366.0,0.076
366.5,0.073
367.0,0.064
367.5,0.056
368.0,0.052
368.5,0.053
369.0,0.056
369.5,0.060
370.0,0.066
370.5,0.073
371.0,0.078
371.5,0.075
372.0,0.065
372.5,0.055
373.0,0.054
373.5,0.066
374.0,0.082
374.5,0.089
375.0,0.083
375.5,0.071
376.0,0.065
376.5,0.065
377.0,0.070
377.5,0.073
378.0,0.071
378.5,0.064
379.0,0.053
379.5,0.045
380.0,0.041
380.5,0.039
381.0,0.035
381.5,0.033
382.0,0.037
382.5,0.044
383.0,0.048
383.5,0.046
384.0,0.043
384.5,0.043
385.0,0.047
385.5,0.051
386.0,0.049
386.5,0.043
387.0,0.035
387.5,0.030
388.0,0.031
388.5,0.035
389.0,0.039
389.5,0.041
390.0,0.043
390.5,0.048
391.0,0.050
391.5,0.047
392.0,0.036
392.5,0.023
393.0,0.017
393.5,0.020
394.0,0.031
394.5,0.043
395.0,0.050
395.5,0.051
396.0,0.047
396.5,0.042
397.0,0.037
397.5,0.032
398.0,0.027
398.5,0.022
399.0,0.018
399.5,0.017
400.0,0.016
400.5,0.017
401.0,0.018
401.5,0.022
402.0,0.025
402.5,0.027
403.0,0.027
403.5,0.028
404.0,0.029
404.5,0.029
405.0,0.029
405.5,0.029
406.0,0.029
406.5,XXX.XXX
407.0,XXX.XXX
407.5,XXX.XXX
408.0,XXX.XXX
408.5,XXX.XXX
409.0,XXX.XXX
409.5,XXX.XXX
410.0,XXX.XXX
